TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Crimes,2019,4,4,2,20,16XX RENFREW ST,Hastings-Sunrise,496779.7329,5457512.712
Other Crimes,2019,1,10,4,49,17XX BOUNDARY RD,Hastings-Sunrise,498273.055,5457352.969
Other Crimes,2019,12,25,5,7,18XX RENFREW ST,Hastings-Sunrise,496785.7084,5457264.372
Other Crimes,2019,10,15,3,24,18XX RENFREW ST,Hastings-Sunrise,496786.3341,5457292.759
Other Crimes,2019,1,4,15,50,24XX E 1ST AVE,Hastings-Sunrise,495975.3076,5457402.604
Other Crimes,2019,12,13,17,23,24XX E HASTINGS ST,Hastings-Sunrise,495943.8596,5458718.708
Other Crimes,2019,12,2,5,23,24XX E HASTINGS ST,Hastings-Sunrise,496004.0732,5458709.417
Other Crimes,2019,11,18,16,16,24XX FRANKLIN ST,Hastings-Sunrise,495908.6394,5458810.045
Other Crimes,2019,6,22,0,9,25XX CAMBRIDGE ST,Hastings-Sunrise,496117.7337,5459328.334
Other Crimes,2019,10,8,19,14,25XX E HASTINGS ST,Hastings-Sunrise,496071.0802,5458709.238
Other Crimes,2019,9,13,19,0,25XX E HASTINGS ST,Hastings-Sunrise,496098.9665,5458718.303
Other Crimes,2019,5,23,0,0,25XX E HASTINGS ST,Hastings-Sunrise,496137.7913,5458709.05
Other Crimes,2019,6,26,15,20,25XX MCGILL ST,Hastings-Sunrise,496158.9406,5459549.214
Other Crimes,2019,5,21,18,0,26XX E 7TH AVE,Hastings-Sunrise,496392.11,5456794.925
Other Crimes,2019,6,10,4,35,26XX E HASTINGS ST,Hastings-Sunrise,496295.5655,5458708.61
Other Crimes,2019,11,15,3,29,26XX E HASTINGS ST,Hastings-Sunrise,496358.1726,5458717.582
Other Crimes,2019,6,20,10,30,26XX E HASTINGS ST,Hastings-Sunrise,496366.9451,5458717.558
Other Crimes,2019,6,15,8,41,26XX OXFORD ST,Hastings-Sunrise,496381.6857,5459210.864
Other Crimes,2019,6,19,9,53,27XX E HASTINGS ST,Hastings-Sunrise,496500.1947,5458717.136
Other Crimes,2019,4,13,22,58,27XX E HASTINGS ST,Hastings-Sunrise,496507.236,5458707.968
Other Crimes,2019,4,14,1,35,27XX E HASTINGS ST,Hastings-Sunrise,496510.8917,5458707.956
Other Crimes,2019,9,19,8,6,27XX E HASTINGS ST,Hastings-Sunrise,496510.8917,5458707.956
Other Crimes,2019,8,18,23,34,27XX E HASTINGS ST,Hastings-Sunrise,496593.169,5458716.822
