TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,1,22,20,15,10XX PARKER ST,Strathcona,494080.0022,5458126.759
Break and Enter Commercial,2022,5,30,4,42,10XX RAYMUR AVE,Strathcona,494011.8703,5458691.231
Break and Enter Commercial,2022,1,13,3,33,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2022,3,24,21,54,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2022,7,13,2,15,11XX E HASTINGS ST,Strathcona,494148.911,5458699.455
Break and Enter Commercial,2022,3,8,7,12,11XX E PENDER ST,Strathcona,494166.864,5458585.125
Break and Enter Commercial,2022,3,26,14,0,11XX VERNON DR,Strathcona,494273.6322,5457999.873
Break and Enter Commercial,2022,4,27,7,10,11XX VERNON DR,Strathcona,494273.6322,5457999.873
Break and Enter Commercial,2022,1,30,6,57,11XX WILLIAM ST,Strathcona,494196.0232,5457932.313
Break and Enter Commercial,2022,3,5,9,0,12XX E 2ND AVE,Strathcona,494287.6423,5457341.666
Break and Enter Commercial,2022,4,17,15,30,12XX E 2ND AVE,Strathcona,494287.6423,5457341.666
Break and Enter Commercial,2022,4,17,17,38,12XX E 2ND AVE,Strathcona,494360.9946,5457340.254
Break and Enter Commercial,2022,5,31,3,45,12XX E HASTINGS ST,Strathcona,494373.5721,5458740.095
Break and Enter Commercial,2022,3,27,3,0,12XX E PENDER ST,Strathcona,494315.5427,5458623.329
Break and Enter Commercial,2022,2,12,13,0,12XX E PENDER ST,Strathcona,494352.5672,5458631.235
Break and Enter Commercial,2022,2,9,21,0,12XX FRANCES ST,Strathcona,494273.9004,5458524.136
Break and Enter Commercial,2022,3,9,7,47,17XX VERNON DR,Strathcona,494267.6584,5457357.48
Break and Enter Commercial,2022,3,3,18,0,1XX MAIN ST,Strathcona,492765.7564,5458980.089
Break and Enter Commercial,2022,6,10,16,46,1XX PRINCESS AVE,Strathcona,493350.4732,5459011.181
Break and Enter Commercial,2022,6,8,0,27,2XX E GEORGIA ST,Strathcona,492767.4329,5458423.408
Break and Enter Commercial,2022,4,27,23,0,2XX E GEORGIA ST,Strathcona,492785.7057,5458432.144
Break and Enter Commercial,2022,4,25,3,55,2XX E GEORGIA ST,Strathcona,492924.2689,5458429.027
Break and Enter Commercial,2022,1,2,2,0,2XX E GEORGIA ST,Strathcona,492935.5844,5458419.626
Break and Enter Commercial,2022,4,19,9,21,2XX E HASTINGS ST,Strathcona,492843.8126,5458730.455
Break and Enter Commercial,2022,3,16,4,18,2XX E PENDER ST,Strathcona,492801.0095,5458632.971
Break and Enter Commercial,2022,5,4,6,30,2XX E PENDER ST,Strathcona,492840.5313,5458631.771
Break and Enter Commercial,2022,3,31,0,0,2XX KEEFER ST,Strathcona,492820.0687,5458523.307
Break and Enter Commercial,2022,7,9,7,9,2XX KEEFER ST,Strathcona,492820.3377,5458532.447
Break and Enter Commercial,2022,3,8,3,15,2XX KEEFER ST,Strathcona,492870.7456,5458521.816
Break and Enter Commercial,2022,2,22,14,0,2XX POWELL ST,Strathcona,492840.0974,5458944.582
Break and Enter Commercial,2022,4,7,10,30,2XX UNION ST,Strathcona,492849.1055,5458330.838
Break and Enter Commercial,2022,4,7,5,32,3XX DUNLEVY AVE,Strathcona,493059.4507,5458827.069
Break and Enter Commercial,2022,3,15,22,15,3XX POWELL ST,Strathcona,492927.5414,5458932.758
Break and Enter Commercial,2022,3,15,22,54,3XX POWELL ST,Strathcona,492928.5326,5458932.728
Break and Enter Commercial,2022,6,30,6,30,3XX RAILWAY ST,Strathcona,493034.7769,5459113.397
Break and Enter Commercial,2022,4,12,23,11,4XX DUNLEVY AVE,Strathcona,493064.8573,5458695.586
